Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,178deg,-18.3980962614077
272.5GHz,-180,179deg,-17.9344207182754
272.5GHz,-180,180deg,-17.6669803767659
272.5GHz,-179,0deg,2.08645193650973
272.5GHz,-179,1deg,1.86415109969541
272.5GHz,-179,2deg,1.40707520681269
272.5GHz,-179,3deg,0.741128638503991
272.5GHz,-179,4deg,-0.102529570604405
272.5GHz,-179,5deg,-1.09867384365957
272.5GHz,-179,6deg,-2.2382397469944
272.5GHz,-179,7deg,-3.53550112456599
272.5GHz,-179,8deg,-5.03368291917551
272.5GHz,-179,9deg,-6.80990453243516
272.5GHz,-179,10deg,-8.97783896466958
272.5GHz,-179,11deg,-11.6915907470828
272.5GHz,-179,12deg,-15.1608722548576
272.5GHz,-179,13deg,-19.5322873371702
272.5GHz,-179,14deg,-22.6133100677444
272.5GHz,-179,15deg,-19.799789235892
272.5GHz,-179,16deg,-16.1832063397581
272.5GHz,-179,17deg,-13.671474312044
272.5GHz,-179,18deg,-12.1418977639475
272.5GHz,-179,19deg,-11.4320789514799
272.5GHz,-179,20deg,-11.4267520974532
272.5GHz,-179,21deg,-12.032016889645
272.5GHz,-179,22deg,-13.1609782344458
272.5GHz,-179,23deg,-14.7071541989872
272.5GHz,-179,24deg,-16.4363431283127
272.5GHz,-179,25deg,-17.778628000079
272.5GHz,-179,26deg,-18.093106113634
272.5GHz,-179,27deg,-17.6619225376354
272.5GHz,-179,28deg,-17.3159817879658
272.5GHz,-179,29deg,-17.473915403921
272.5GHz,-179,30deg,-17.9903109650111
272.5GHz,-179,31deg,-18.0733425551191
272.5GHz,-179,32deg,-16.8903872084541
272.5GHz,-179,33deg,-14.8754777936246
272.5GHz,-179,34deg,-12.8651197728079
272.5GHz,-179,35deg,-11.1875534714892
272.5GHz,-179,36deg,-9.88136139212398
272.5GHz,-179,37deg,-8.9190321199036
272.5GHz,-179,38deg,-8.27883003037166
272.5GHz,-179,39deg,-7.95940935643851
272.5GHz,-179,40deg,-7.97830192431974
272.5GHz,-179,41deg,-8.36552229352027
272.5GHz,-179,42deg,-9.15260973617296
272.5GHz,-179,43deg,-10.3487929727551
272.5GHz,-179,44deg,-11.8798072290848
272.5GHz,-179,45deg,-13.4560937114127
272.5GHz,-179,46deg,-14.5014398955295
272.5GHz,-179,47deg,-14.6440076340234
272.5GHz,-179,48deg,-14.2674055524032
272.5GHz,-179,49deg,-13.9580717785477
272.5GHz,-179,50deg,-14.0212356848508
272.5GHz,-179,51deg,-14.5503333186122
272.5GHz,-179,52deg,-15.5296693520702
272.5GHz,-179,53deg,-16.7871807582261
272.5GHz,-179,54deg,-17.7731815781893
272.5GHz,-179,55deg,-17.6427704320482
272.5GHz,-179,56deg,-16.3873819961581
272.5GHz,-179,57deg,-14.8612321109829
272.5GHz,-179,58deg,-13.6337619953718
272.5GHz,-179,59deg,-12.8866425506143
272.5GHz,-179,60deg,-12.6590512812955
272.5GHz,-179,61deg,-12.9633713211861
272.5GHz,-179,62deg,-13.824682686313
272.5GHz,-179,63deg,-15.2987785208402
272.5GHz,-179,64deg,-17.4815786252884
272.5GHz,-179,65deg,-20.4521150218934
272.5GHz,-179,66deg,-23.6695073133506
272.5GHz,-179,67deg,-24.315642107044
272.5GHz,-179,68deg,-22.0367248548891
272.5GHz,-179,69deg,-19.7553323251364
272.5GHz,-179,70deg,-18.1309723492654
272.5GHz,-179,71deg,-17.0488853469402
272.5GHz,-179,72deg,-16.355950167859
272.5GHz,-179,73deg,-15.9395827707913
272.5GHz,-179,74deg,-15.7229229055829
272.5GHz,-179,75deg,-15.6552642792437
272.5GHz,-179,76deg,-15.7043544217822
272.5GHz,-179,77deg,-15.84995681933
272.5GHz,-179,78deg,-16.0783498663532
272.5GHz,-179,79deg,-16.3779624045802
272.5GHz,-179,80deg,-16.7363883512214
272.5GHz,-179,81deg,-17.1388515561259
272.5GHz,-179,82deg,-17.5680564653915
272.5GHz,-179,83deg,-18.0052825047253
272.5GHz,-179,84deg,-18.4324488797263
272.5GHz,-179,85deg,-18.8346271551825
272.5GHz,-179,86deg,-19.2022256649002
272.5GHz,-179,87deg,-19.5320689223071
272.5GHz,-179,88deg,-19.8269993496931
272.5GHz,-179,89deg,-20.0942559288392
272.5GHz,-179,90deg,-20.343331693248
272.5GHz,-179,91deg,-20.5840342583765
272.5GHz,-179,92deg,-20.8251718317638
272.5GHz,-179,93deg,-21.0739305651896
272.5GHz,-179,94deg,-21.3357804511158
272.5GHz,-179,95deg,-21.6146701203304
272.5GHz,-179,96deg,-21.9132853243701
272.5GHz,-179,97deg,-22.2331897253247
272.5GHz,-179,98deg,-22.5747106617361
272.5GHz,-179,99deg,-22.936480497809
272.5GHz,-179,100deg,-23.3146253273248
272.5GHz,-179,101deg,-23.7017561121393
272.5GHz,-179,102deg,-24.0862119255772
272.5GHz,-179,103deg,-24.4524080286218
272.5GHz,-179,104deg,-24.7834031666101
272.5GHz,-179,105deg,-25.0663396710335
272.5GHz,-179,106deg,-25.2997255733524
272.5GHz,-179,107deg,-25.499337418759
272.5GHz,-179,108deg,-25.6990757676023
272.5GHz,-179,109deg,-25.94561743524
272.5GHz,-179,110deg,-26.2887499676751
272.5GHz,-179,111deg,-26.7692515283139
272.5GHz,-179,112deg,-27.4026384746866
272.5GHz,-179,113deg,-28.1532081924414
272.5GHz,-179,114deg,-28.8979405882652
272.5GHz,-179,115deg,-29.4176794221005
272.5GHz,-179,116deg,-29.5083696878201
272.5GHz,-179,117deg,-29.1789584127213
272.5GHz,-179,118deg,-28.6551512023345
272.5GHz,-179,119deg,-28.1796169147418
272.5GHz,-179,120deg,-27.8906354405761
272.5GHz,-179,121deg,-27.8240258722433
272.5GHz,-179,122deg,-27.9506503846617
272.5GHz,-179,123deg,-28.2193483885878
272.5GHz,-179,124deg,-28.6076680964725
272.5GHz,-179,125deg,-29.1629839156117
272.5GHz,-179,126deg,-29.9981009075088
272.5GHz,-179,127deg,-31.2194378314447
272.5GHz,-179,128deg,-32.7355070619757
272.5GHz,-179,129deg,-33.8629308396598
272.5GHz,-179,130deg,-33.6149052047847
272.5GHz,-179,131deg,-32.4380265545817
272.5GHz,-179,132deg,-31.4393260646199
272.5GHz,-179,133deg,-30.9416414066386
272.5GHz,-179,134deg,-30.4923195719328
272.5GHz,-179,135deg,-29.2385183412218
272.5GHz,-179,136deg,-27.15126044311
272.5GHz,-179,137deg,-25.0585319350666
272.5GHz,-179,138deg,-23.5047217572988
272.5GHz,-179,139deg,-22.6475353218945
272.5GHz,-179,140deg,-22.4834161958633
272.5GHz,-179,141deg,-22.9194391061046
272.5GHz,-179,142deg,-23.7434778254002
272.5GHz,-179,143deg,-24.632150359749
272.5GHz,-179,144deg,-25.409403828896
272.5GHz,-179,145deg,-26.3542915097891
272.5GHz,-179,146deg,-27.9834646343673
272.5GHz,-179,147deg,-30.2109863715617
272.5GHz,-179,148deg,-30.3708732708619
272.5GHz,-179,149deg,-27.7193699543844
272.5GHz,-179,150deg,-25.6040715788041
272.5GHz,-179,151deg,-24.9582447411381
272.5GHz,-179,152deg,-25.9040083256369
272.5GHz,-179,153deg,-28.6184005992453
272.5GHz,-179,154deg,-32.4417579629383
272.5GHz,-179,155deg,-32.2561072426236
272.5GHz,-179,156deg,-30.0022012887562
272.5GHz,-179,157deg,-29.5199104381783
272.5GHz,-179,158deg,-30.148406069527
272.5GHz,-179,159deg,-29.0498497496516
272.5GHz,-179,160deg,-26.2678290462124
272.5GHz,-179,161deg,-24.3023480293061
272.5GHz,-179,162deg,-23.8108726741512
272.5GHz,-179,163deg,-24.936752716317
272.5GHz,-179,164deg,-28.0971386888228
272.5GHz,-179,165deg,-34.9753797433253
272.5GHz,-179,166deg,-44.5601399171432
272.5GHz,-179,167deg,-34.2909478168593
272.5GHz,-179,168deg,-31.087845307042
272.5GHz,-179,169deg,-29.8194418142885
272.5GHz,-179,170deg,-29.0446127526545
272.5GHz,-179,171deg,-28.2499674539118
272.5GHz,-179,172deg,-27.1113244962842
272.5GHz,-179,173deg,-25.3497015267598
272.5GHz,-179,174deg,-23.2596071601637
272.5GHz,-179,175deg,-21.3879925150876
272.5GHz,-179,176deg,-19.9794767326474
272.5GHz,-179,177deg,-19.0047227934191
272.5GHz,-179,178deg,-18.3420191588852
272.5GHz,-179,179deg,-17.9033188459198
272.5GHz,-179,180deg,-17.6669803767659
272.5GHz,-178,0deg,2.08645193650973
272.5GHz,-178,1deg,1.8450785072241
272.5GHz,-178,2deg,1.37055986444458
