Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-180,170deg,-20.4364530443286
272.5GHz,-180,171deg,-20.2898513052801
272.5GHz,-180,172deg,-21.7783832353085
272.5GHz,-180,173deg,-24.599387296484
272.5GHz,-180,174deg,-25.2270922427555
272.5GHz,-180,175deg,-22.8389087728556
272.5GHz,-180,176deg,-21.5106335962459
272.5GHz,-180,177deg,-22.0064972337203
272.5GHz,-180,178deg,-24.3560711087232
272.5GHz,-180,179deg,-28.0818459107331
272.5GHz,-180,180deg,-28.4027265486641
272.5GHz,-179,0deg,-3.73074629825835
272.5GHz,-179,1deg,-4.11634808164371
272.5GHz,-179,2deg,-4.66927980690017
272.5GHz,-179,3deg,-4.9374287851847
272.5GHz,-179,4deg,-4.52344547529554
272.5GHz,-179,5deg,-3.59471074223061
272.5GHz,-179,6deg,-2.62614895628138
272.5GHz,-179,7deg,-1.91918747249944
272.5GHz,-179,8deg,-1.56529871174508
272.5GHz,-179,9deg,-1.55008599774934
272.5GHz,-179,10deg,-1.8167037929941
272.5GHz,-179,11deg,-2.29893960287156
272.5GHz,-179,12deg,-2.94569478248128
272.5GHz,-179,13deg,-3.7310085669263
272.5GHz,-179,14deg,-4.62991060197063
272.5GHz,-179,15deg,-5.56231250493781
272.5GHz,-179,16deg,-6.36092824692391
272.5GHz,-179,17deg,-6.86097942319441
272.5GHz,-179,18deg,-7.07480594963334
272.5GHz,-179,19deg,-7.19150883270899
272.5GHz,-179,20deg,-7.38936005280211
272.5GHz,-179,21deg,-7.71785126744037
272.5GHz,-179,22deg,-8.11097581679783
272.5GHz,-179,23deg,-8.47145158652672
272.5GHz,-179,24deg,-8.77058436222049
272.5GHz,-179,25deg,-9.08587678401197
272.5GHz,-179,26deg,-9.55209425170191
272.5GHz,-179,27deg,-10.2939023577948
272.5GHz,-179,28deg,-11.3791821081364
272.5GHz,-179,29deg,-12.7485796602746
272.5GHz,-179,30deg,-14.0625493294293
272.5GHz,-179,31deg,-14.6888720804634
272.5GHz,-179,32deg,-14.4133743448282
272.5GHz,-179,33deg,-13.8271257503219
272.5GHz,-179,34deg,-13.5056004298614
272.5GHz,-179,35deg,-13.6183783125239
272.5GHz,-179,36deg,-13.9950772656804
272.5GHz,-179,37deg,-14.1889556882597
272.5GHz,-179,38deg,-13.7916693094164
272.5GHz,-179,39deg,-12.9125226322334
272.5GHz,-179,40deg,-11.9767226145251
272.5GHz,-179,41deg,-11.2693902157769
272.5GHz,-179,42deg,-10.8807816924351
272.5GHz,-179,43deg,-10.8041630322654
272.5GHz,-179,44deg,-10.9922441363763
272.5GHz,-179,45deg,-11.3625577155186
272.5GHz,-179,46deg,-11.7813625081995
272.5GHz,-179,47deg,-12.0807054165497
272.5GHz,-179,48deg,-12.1609256939255
272.5GHz,-179,49deg,-12.1004010538399
272.5GHz,-179,50deg,-12.1166170452585
272.5GHz,-179,51deg,-12.4381013504672
272.5GHz,-179,52deg,-13.2402080288629
272.5GHz,-179,53deg,-14.6427442717691
272.5GHz,-179,54deg,-16.6687301216076
272.5GHz,-179,55deg,-18.9503684009423
272.5GHz,-179,56deg,-20.1367152470897
272.5GHz,-179,57deg,-19.3888411945169
272.5GHz,-179,58deg,-18.1185127016104
272.5GHz,-179,59deg,-17.3605564370126
272.5GHz,-179,60deg,-17.3392960549425
272.5GHz,-179,61deg,-18.0579106082307
272.5GHz,-179,62deg,-19.4298684707221
272.5GHz,-179,63deg,-21.0243625032276
272.5GHz,-179,64deg,-21.5256153312819
272.5GHz,-179,65deg,-20.0428989859088
272.5GHz,-179,66deg,-17.7988062341684
272.5GHz,-179,67deg,-15.773483001474
272.5GHz,-179,68deg,-14.1596523899814
272.5GHz,-179,69deg,-12.9178499760654
272.5GHz,-179,70deg,-11.9797530028156
272.5GHz,-179,71deg,-11.2885121809242
272.5GHz,-179,72deg,-10.8023240491426
272.5GHz,-179,73deg,-10.4912574647125
