Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-179,34deg,-19.1634052215529
272.5GHz,-179,35deg,-20.8450207695646
272.5GHz,-179,36deg,-21.5871186304726
272.5GHz,-179,37deg,-21.5419023051666
272.5GHz,-179,38deg,-21.7800720278754
272.5GHz,-179,39deg,-23.0428235279318
272.5GHz,-179,40deg,-25.6830492976711
272.5GHz,-179,41deg,-28.0269848287594
272.5GHz,-179,42deg,-25.0745495270835
272.5GHz,-179,43deg,-21.1714762510263
272.5GHz,-179,44deg,-18.50862717959
272.5GHz,-179,45deg,-16.8407935314906
272.5GHz,-179,46deg,-15.8597606644208
272.5GHz,-179,47deg,-15.3202071289405
272.5GHz,-179,48deg,-15.0097698856345
272.5GHz,-179,49deg,-14.7664148174324
272.5GHz,-179,50deg,-14.5279375096275
272.5GHz,-179,51deg,-14.3440016335001
272.5GHz,-179,52deg,-14.3230436948533
272.5GHz,-179,53deg,-14.5691866298211
272.5GHz,-179,54deg,-15.1529642004274
272.5GHz,-179,55deg,-16.1056259799996
272.5GHz,-179,56deg,-17.4093654928689
272.5GHz,-179,57deg,-18.9589628980198
272.5GHz,-179,58deg,-20.4894295299171
272.5GHz,-179,59deg,-21.5800349507183
272.5GHz,-179,60deg,-21.968506778145
272.5GHz,-179,61deg,-21.8582343147404
272.5GHz,-179,62deg,-21.6371560274437
272.5GHz,-179,63deg,-21.5360061978398
272.5GHz,-179,64deg,-21.5955671545753
272.5GHz,-179,65deg,-21.718974348886
272.5GHz,-179,66deg,-21.7094340001454
272.5GHz,-179,67deg,-21.3542313202974
272.5GHz,-179,68deg,-20.5777787538256
272.5GHz,-179,69deg,-19.5017311264848
272.5GHz,-179,70deg,-18.3250096048207
272.5GHz,-179,71deg,-17.1995781675428
272.5GHz,-179,72deg,-16.2044720552639
272.5GHz,-179,73deg,-15.3682097588317
272.5GHz,-179,74deg,-14.6924853089337
272.5GHz,-179,75deg,-14.1665043939271
272.5GHz,-179,76deg,-13.7743066646485
272.5GHz,-179,77deg,-13.4983150169075
272.5GHz,-179,78deg,-13.3210754452127
272.5GHz,-179,79deg,-13.2261679067947
272.5GHz,-179,80deg,-13.1987341581212
272.5GHz,-179,81deg,-13.2258042852274
272.5GHz,-179,82deg,-13.2964797115109
272.5GHz,-179,83deg,-13.401980227531
272.5GHz,-179,84deg,-13.5355531015828
272.5GHz,-179,85deg,-13.6922540783221
272.5GHz,-179,86deg,-13.8686285381218
272.5GHz,-179,87deg,-14.0623356204636
272.5GHz,-179,88deg,-14.2717632833693
272.5GHz,-179,89deg,-14.4956782306559
272.5GHz,-179,90deg,-14.7329453397395
272.5GHz,-179,91deg,-14.9823414484931
272.5GHz,-179,92deg,-15.2424811595656
272.5GHz,-179,93deg,-15.5118677403444
272.5GHz,-179,94deg,-15.7890773453511
272.5GHz,-179,95deg,-16.0730749812085
272.5GHz,-179,96deg,-16.3636415050502
272.5GHz,-179,97deg,-16.6618613047427
272.5GHz,-179,98deg,-16.9705846479443
272.5GHz,-179,99deg,-17.2947470196939
272.5GHz,-179,100deg,-17.6414106459772
272.5GHz,-179,101deg,-18.0193932300367
272.5GHz,-179,102deg,-18.4383537996142
272.5GHz,-179,103deg,-18.9071944399211
272.5GHz,-179,104deg,-19.4316033828814
272.5GHz,-179,105deg,-20.010569103589
272.5GHz,-179,106deg,-20.6319522963888
272.5GHz,-179,107deg,-21.2681753218384
272.5GHz,-179,108deg,-21.875247930928
272.5GHz,-179,109deg,-22.4007234789272
272.5GHz,-179,110deg,-22.8040054716044
272.5GHz,-179,111deg,-23.0807890907403
272.5GHz,-179,112deg,-23.2721046257388
272.5GHz,-179,113deg,-23.4480408860877
272.5GHz,-179,114deg,-23.6787258771688
272.5GHz,-179,115deg,-24.0099345539552
272.5GHz,-179,116deg,-24.4483176033997
272.5GHz,-179,117deg,-24.954715804369
272.5GHz,-179,118deg,-25.451144819631
272.5GHz,-179,119deg,-25.8550473506708
272.5GHz,-179,120deg,-26.1352727711793
272.5GHz,-179,121deg,-26.3404509502062
272.5GHz,-179,122deg,-26.5598758596204
272.5GHz,-179,123deg,-26.8471350240802
272.5GHz,-179,124deg,-27.1586258342969
272.5GHz,-179,125deg,-27.3487278072575
272.5GHz,-179,126deg,-27.2802444565019
272.5GHz,-179,127deg,-27.0043720036981
272.5GHz,-179,128deg,-26.7822404629563
272.5GHz,-179,129deg,-26.938971751928
272.5GHz,-179,130deg,-27.7840051064535
272.5GHz,-179,131deg,-29.6469726084178
272.5GHz,-179,132deg,-32.7815464003673
272.5GHz,-179,133deg,-35.136092942118
272.5GHz,-179,134deg,-32.3034035916782
272.5GHz,-179,135deg,-29.1084547860194
272.5GHz,-179,136deg,-27.404167282051
272.5GHz,-179,137deg,-27.0680247367097
272.5GHz,-179,138deg,-27.9722708420839
272.5GHz,-179,139deg,-29.8648592415475
272.5GHz,-179,140deg,-31.4534819337256
272.5GHz,-179,141deg,-30.9089523021287
272.5GHz,-179,142deg,-29.7412577266547
272.5GHz,-179,143deg,-29.7406873771765
272.5GHz,-179,144deg,-31.6428983205109
272.5GHz,-179,145deg,-36.7728595031076
272.5GHz,-179,146deg,-51.6422606275366
272.5GHz,-179,147deg,-38.3717044537103
272.5GHz,-179,148deg,-34.0241144020197
272.5GHz,-179,149deg,-32.1852756769302
272.5GHz,-179,150deg,-30.2635782774712
272.5GHz,-179,151deg,-27.8534860777487
272.5GHz,-179,152deg,-25.9616092444826
272.5GHz,-179,153deg,-25.1602261012426
272.5GHz,-179,154deg,-25.5899231148189
272.5GHz,-179,155deg,-27.1851724856055
272.5GHz,-179,156deg,-29.3427351676114
272.5GHz,-179,157deg,-30.5960392096856
272.5GHz,-179,158deg,-31.0573606309817
